Common code,Original name,English suggestion,Engl. abbr.,Engl. Aliases,German suggestion,German abbr.,German aliases,Dutch name,Dutch abbr.,Dutch aliases,Description
XOJ,1/4 EURO Pallet,1/4 EURO Pallet,,,1/4 EURO Palette,,,1/4 EURO pallet,,,Standard pallet with dimensions 60 X 40 cm.
XOL,1/8 EURO Pallet,1/8 EURO Pallet,,,1/8 EURO Palette,,,1/8 EURO pallet,,,Standard pallet with dimensions 40 X 30 cm.
X1B,"Drum, aluminium",Aluminium drum,,,Aluminiumfass,,,aluminium trommel,,,
XQD,"Drum, aluminium, removable head","Aluminium drum, removable head",,,"Aluminiumfass, abnehmbarer Kopf",,,"aluminium trommel, afneembare deskel",,,
XQC,"Drum, aluminium, non-removable head","Aluminium drum, non-removable head",,,"Aluminiumfass, nicht abnehmbarer Kopf",,,"Aluminium trommel, niet-afneembare deksel",,,
XWD,"Intermediate bulk container, aluminium ",Aluminium intermediate bulk container,,,Aluminium-Intermediate-Bulk-Container,,,aluminium Intermediate-Bulk-Container,,,
XWH,"Intermediate bulk container, aluminium, pressurised > 10 kpa","Aluminium intermediate bulk container, pressurised > 10 kpa",,,"Aluminium-Intermediate-Bulk-Container, druckbeaufschlagt > 10 kPa",,,"aluminium Intermediate-Bulk-Container, onder druk > 10 kPa",,,
X4B,"Box, aluminium",Aluminium box,,,Aluminiumkiste,,,aluminium box,,,
XWL,"Intermediate bulk container, aluminium, liquid ",Aluminium intermediate liquid bulk container,,,Aluminium-Zwischenbehälter für flüssige Schüttgüter,,,aluminium Intermediate-Bulk-Container voor vloeistoffen,,,
XAM,"Ampoule, non-protected ",Ampoule,,,Ampulle,,,ampul,,,
XOU,"Container, outer",Outer container,,,Außenbehälter,,,buitenste container,,,"A type of containment box that serves as the outer shipping container, not otherwise specified as transport equipment."
X7A,"Case, car",Car case,,,Auto-Box,,,autokoffer,,,A type of portable container designed to store equipment for carriage in an automobile.
XAL,Ball,Ball,,,Ball,,,bal,,,A spherical containment vessel for retaining substances or articles.
XBN,"Bale, non-compressed ",Bale,,,Ballen,,,baal,,,
XBF,"Balloon, non-protected ",Balloon,,,Ballon,,,ballon,,,
XSY,Sleeve,Sleeve,,,Banderole,,,hoes,,,
XIN,Ingot,Ingot,,,Barren,,,baar,,,
XIZ,"Ingots, in bundle/bunch/truss",Ingots,,,Barren (mehrere),,,baren,,,
XBS,"Bottle, non-protected, bulbous ",Bulbous bottle,,,Bauchige Flasche,,,ballonfles,,,A narrow-necked bulb shaped vessel without external protective packing material.
XCU,Cup,Cup,,,Becher,,,beker,,,
XCN,"Container, not otherwise specified as transport equipment",Container,,,Behälter,,,container,,,
XPO,Pouch,Pouch,,,Beutel,,,zakje,,,
XSH,Sachet ,Sachet ,,,Beutel,,,zakje,,,
XCB,"Crate, beer",Beer crate,,,Bierkasten,,,bierkrat,,,
X43,"Bag, super bulk",Big bag,,,Bigbag,,,bigbag,,,A cloth plastic or paper based bag having the dimensions of the pallet on which it is constructed.
XST,Sheet,Sheet,,,Blatt,Bl.,,blad,,,
XSZ,"Sheets, in bundle/bunch/truss",Sheets,,,Blätter,,,bladeren,,,
XSM,Sheetmetal ,Sheetmetal ,,,Blech ,,,plaatmetaal,,,
XOK,Block,Block,,,Block,,,blok,,,"A solid piece of a hard substance, such as granite, having one or more flat sides."
XPN,Plank,Plank,,,Bohle,,,plank,,,
XVA,Vat,Vat,,,Bottich,,,kuip,,,
XBX,Box,Box,,,Box,,,box,,,
XBW,"Box, for liquids",Box for liquids,,,Box für Flüssigkeiten,,,box voor vloeistoffen,,,
XPZ,"Planks, in bundle/bunch/truss",Planks,,,Bretter,,,planken,,,
XCI,Canister ,Canister ,,,Büchse,,,pot,,,
XHN,Hanger,Hanger,,,Bügel,,,(kleer)hanger,,,A purpose shaped device with a hook at the top for hanging items from a rail.
XBH,Bunch,Bunch,,,Bund,Bd.,bd,bos,,,
XTS,Truss,Truss,,,Bündel,,,bundel,,,
XBE,Bundle ,Bundle ,bdl.,,Bündel ,Bdl.,,bundel,,,
XCC,Churn,Churn,,,Butterfass,,,karnton,,,
XLT,Lot,Lot,,,Charge,,,batch,,,
XP1,CHEP pallet 60 cm x 80 cm ,CHEP pallet 60 cm x 80 cm ,,,CHEP Palette 60 cm x 80 cm ,,,CHEP pallet 60 cm x 80 cm,,,Commonwealth Handling Equipment Pool (CHEP) standard pallet of dimensions 60 centimeters x 80 centimeters.
XOC,"Pallet, CHEP 100 cm x 120 cm","CHEP Pallet, 100 cm x 120 cm",,,"CHEP Palette, 100 cm x 120 cm",,,"CHEP pallet, 100 cm x 120 cm",,,Commonwealth Handling Equipment Pool (CHEP) standard pallet of dimensions 100 centimeters x 120 centimeters.
XOA,"Pallet, CHEP 40 cm x 60 cm","CHEP Pallet, 40 cm x 60 cm",,,"CHEP Palette, 40 cm x 60 cm",,,"CHEP pallet, 40 cm x 60 cm",,,Commonwealth Handling Equipment Pool (CHEP) standard pallet of dimensions 40 centimeters x 60 centimeters.
XOB,"Pallet, CHEP 80 cm x 120 cm","CHEP Pallet, 80 cm x 120 cm",,,"CHEP Palette, 80 cm x 120 cm",,,"CHEP pallet, 80 cm x 120 cm",,,Commonwealth Handling Equipment Pool (CHEP) standard pallet of dimensions 80 centimeters x 120 centimeters.
XDG,"Cage, Commonwealth Handling Equipment Pool  (CHEP)",CHEP Cage,,,CHEP-Käfig,,,CHEP kooi,,,
XZP,"Intermediate bulk container, composite, flexible plastic, pressurised","Composite intermediate bulk container, flexible plastic, pressurised",,,"Composite-Intermediate Bulk Container, flexibler Plastik, druckbeaufschlagt",,,composiet flexibel kunststof Intermediate-Bulk-Container onder druk,,,
XZR,"Intermediate bulk container, composite, flexible plastic, liquids ","Composite intermediate bulk container, flexible plastic, liquids",,,"Composite-Intermediate Bulk Container, flexibler Plastik, Flüssigkeiten",,,composiet flexibel kunststof Intermediate-Bulk-Container voor vloeistoffen,,,
XZM,"Intermediate bulk container, composite, flexible plastic, solids","Composite intermediate bulk container, flexible plastic, solids",,,"Composite-Intermediate-Bulk-Behälter, flexibler Plastik, Feststoffe",,,composiet flexibel kunststof Intermediate-Bulk-Container voor vaste stoffen,,,
XZQ,"Intermediate bulk container, composite, rigid plastic, liquids","Composite intermediate bulk container, rigid plastic, liquids",,,"Composite-Intermediate-Bulk-Behälter, Hartplastik, Flüssigkeiten",,,composiet hard kunststof Intermediate-Bulk-Container voor vloeistoffen,,,
XZN,"Intermediate bulk container, composite, rigid plastic, pressurised ","Composite intermediate bulk container, rigid plastic, pressurised",,,"Composite-Intermediate-Bulk-Container, Hartplastik, druckbeaufschlagt",,,composiet hard kunststof Intermediate-Bulk-Container onder druk,,,
XZL,"Intermediate bulk container, composite, rigid plastic, solids","Composite intermediate bulk container, rigid plastic, solids",,,"Composite-Intermediate-Bulk-Container, Hartplastik, Feststoffe",,,composiet hard kunststof Intermediate-Bulk-Container voor vaste stoffen,,,
XDJ,"Demijohn, non-protected",Demijohn,,,Demijohn,,,gistingsfles (demijohn),,,
XIA,"Package, display, wooden ",Wooden display package,,,Display-Paket aus Holz,,,houten display-pakket,,,
XIB,"Package, display, cardboard",Cardboard display package,,,Display-Paket aus Karton,,,kartonnen display-pakket,,,
XID,"Package, display, metal",Metal display package,,,Display-Paket aus Metall,,,metalen display-pakket,,,
XIC,"Package, display, plastic",Plastic display package,,,Display-Paket aus Plastik,,,kunststof display-pakket,,,
XCX,"Can, cylindrical ",Can,,,Dose,,,blik,,,
XTN,Tin,Tin,,,Dose,,,blikje,,,
XCD,"Can, with handle and spout ",Can with handle and spout ,,,Dose mit Griff und Ausgießer ,,,blik met handvat en schenktuit,,,
XTB,Tub,Tub,,,Eimer,,,tobbe,,,
XBJ,Bucket ,Bucket ,,,Eimer ,,,emmer,,,
XTL,"Tub, with lid",Tub with lid,,,Eimer mit Deckel,,,emmer met deksel,,,
XFD,"Crate, framed",Framed crate,,,Eingefasste Kiste,,,plankenkrat,,,
XAG,"Pallet, shrinkwrapped ",Shrinkwrapped pallet,,,Eingeschweißte Palette,,,pallet in krimpfolie,,,Pallet load secured with transparent plastic film that has been wrapped around and then shrunk tightly.
XUN,Unit,Unit,,,Einheit,,,eenheid,,,"A type of package composed of a single item or object, not otherwise specified as a unit of transport equipment."
XZZ,Mutually defined ,Mutually defined ,,,Einvernehmlich definiert ,,,bepaald in onderling overleg,,,
XOS,Oneway pallet,Oneway pallet,,,Einweg-Palette,,,wegwerppallet,,,Pallet need not be returned to the point of expedition
XO3,Oneway pallet ISO 0 - 1/2 EURO Pallet,Oneway pallet ISO 0 - 1/2 EURO Pallet,,,Einwegpalette ISO 0 - 1/2 EURO Palette,,,wegwerppallet ISO 0 - 1/2 EURO pallet,,,Oneway pallet with dimensions 80 X 60 cm.
XO4,Oneway pallet ISO 1 - 1/1 EURO Pallet,Oneway pallet ISO 1 - 1/1 EURO Pallet,,,Einwegpalette ISO 1 - 1/1 EURO Palette,,,wegwerppallet ISO 1 - 1/1 EURO pallet,,,Oneway pallet with dimensions 80 X 120 cm.
XO5,Oneway pallet ISO 2 - 2/1 EURO Pallet,Oneway pallet ISO 2 - 2/1 EURO Pallet,,,Einwegpalette ISO 2 - 2/1 EURO Palette,,,wegwerppallet ISO 2 - 2/1 EURO pallet,,,Oneway pallet with dimensions 100 X 120 cm.
XNF,"Unpacked or unpackaged, single unit",Single unit unpackaged,,,Einzelne Einheit unverpackt,,,"enkelvoudige eenheid, onverpakt",,,
XDI,"Drum, iron ",Iron drum,,,Eisenfass,,,ijzeren trommel,,,
XDH,"Box, Commonwealth Handling Equipment Pool (CHEP), Eurobox","Eurobox, CHEP box",box,,"Eurobox, CHEP-Box",Box,,"Eurobox, CHEP-box",,,A box mounted on a pallet base under the control of CHEP.
XBA,Barrel ,Barrel ,,,Fass,,,vat (Engels: barrel),,,
XBU,Butt ,Butt ,,,Fass,,,vat (Engels: butt),,,
XDR,Drum ,Drum ,,,Fass,,,trommel,,,
XTO,Tun,Tun,,,Fass,,,vat (Engels: tun),,,
XFI,Firkin ,Firkin ,,,Fässchen ,,,vat (Engels: firkin),,,
XFR,Frame,Frame,,,Fassung,,,frame,,,
XVY,"Bulk, solid, fine particles (“powders”)",Fine particles solid bulk (“powders”),,,"Feine Partikel, feste Schüttgüter (""Pulver"")",,,bulk poeder,,,
XFP,Filmpack ,Filmpack ,,,Filmpack,,,wikkel,,,
XCE,Creel,Creel,,,Fischkorb,,,(vis)korf,,,
XBO,"Bottle, non-protected, cylindrical ",Bottle,btl.,btl,Flasche,Fl.,fl,fles,,,A narrow-necked cylindrical shaped vessel without external protective packing material.
XBC,Bottlecrate / bottlerack ,Bottlecrate / bottlerack ,,,Flaschenkasten / Flaschengestell,,,flessenkrat / flessenrek,,,
XBQ,"Bottle, protected cylindrical",Protected bottle,btl.,,Flasche in Umverpackung,Fl.,,fles in buitenverpakking,,,A narrow-necked cylindrical shaped vessel with external protective packing material.
X1F,"Container, flexible",Flexible container,,,Flexibler Behälter,,,flexibele container,,,A packaging container of flexible construction.
XFX,"Bag, flexible container",Flexible container bag,,,Flexibler Behältersack,,,flexibele containerzak,,,
XZU,"Intermediate bulk container, flexible",Flexible intermediate bulk container,,,Flexibler intermediärer  Schüttgutbehälter (IBC),,,Flexible-Intermediate-Bulk-Container,,,
XFE,Flexitank,Flexitank,,,Flexitank,,,flexitank,,,"A flexible containment tank made of plastic, typically for the transportation bulk non-hazardous cargoes using standard size shipping containers."
XIF,"Package, flow ",Flow package,,,Flow-Paket,,,buisfolie,,,"A flexible tubular package or skin, possibly transparent, often used for containment of foodstuffs (e.g. salami sausage)."
XWM,"Intermediate bulk container, metal, liquid ",Metal intermediate liquid bulk container,,,Flüssiger Schüttgutbehälter aus Metall,,,metalen Intermediate-Bulk-Container voor vloeistoffen,,,
XWK,"Intermediate bulk container, steel, liquid ",Steel intermediate liquid bulk container,,,Flüssiger Schüttgutbehälter aus Stahl,,,stalen Intermediate-Bulk-Container voor vloeistoffen,,,
