common code,full name,short name,symbol,alt. Symbols,aliases,description
DMT,Dezimeter,Dezimeter,dm,,,
CMT,Zentimeter,Zentimeter,cm,,,
4H,Mikrometer (Mikron),Mikrometer,µm,,,
MMT,Millimeter,Millimeter,mm,,,
HMT,Hektometer,Hektometer,hm,,,
KMT,Kilometer,Kilometer,km,,,
A45,Dekameter,Dekameter,dam,,,
INH,Zoll,Zoll,″,in,,
FOT,Fuß,Fuß,ft,,,
YRD,Yard,Yard,yd,,,
SMI,Meile (britisch),Meile,mile,,,
77,Millizoll,Millizoll,mil,,,
MTK,Quadratmeter,Quadratmeter,m²,qm,,
DAA,Dekar,Dekar,daa,,,
KMK,Quadratkilometer,Quadratkilometer,km²,,,
CMK,Quadratzentimeter,Quadratzentimeter,cm²,,,
DMK,Quadratdezimeter,Quadratdezimeter,dm²,,,
H16,Quadratdekameter,Quadratdekameter,dam²,,,Synonym: Ar
H18,Quadrathektometer,Quadrathektometer,hm²,,,Synonym: Hektar
MMK,Quadratmillimeter,Quadratmillimeter,mm²,,,
M47,Circular mil ,Circular mil ,cmil,,,"Unit of an area, of which the size is given by a diameter of length of 1 mm (0,001 in) based on the formula: area = p·(diameter/2)²."
ARE,Ar,Ar,a,,,Synonym: Quadratdekameter
HAR,Hektar,Hektar,ha,,,Synonym: Quadrathektometer
INK,Quadratzoll,Quadratzoll,in²,,,
FTK,Quadratfuß,Quadratfuß,ft²,,,
YDK,Quadratmeter,Quadratmeter,yd²,,,
MIK,Quadratmeile (britisch),Quadratmeile,mi²,,,
ACR,Morgen,Morgen,acre,,,
KGM,Kilogramm,Kilogramm,kg,,kilo,
HGM,Hektogramm,Hektogramm,hg,,,
KTN,Kilotonne,Kilotonne,kt,,,
DJ,Dekagramm,Dekagramm,dag,dkg,,
DG,Dezigramm,Dezigramm,dg,,,
CGM,Zentigramm,Zentigramm,cg,,,
DTN,Dezitonne,Dezitonne,dt,dtn,,"Synonym: Zentner (A, CH)"
MGM,Milligramm,Milligramm,mg,,,
2U,Megagramm,Megagramm,Mg,,,
MC,Mikrogramm,Mikrogramm,µg,,,
GRM,Gramm,Gramm,g,,"gr, grm",
TNE,Tonne (metrisch),Tonne,t,,,
M86,Pfund,Pfund,pfd,,,Veraltete deutsche Masseeinheit
LBR,Englisches Pfund,Englisches Pfund,lb,,,
GRN,Gran,Gran,gr,,,
ONZ,Unze (avoirdupois),Unze,oz,,,
CWI,Hundredweight (britisch),Br. Zentner,cwt,,,
CWA,Hundredweight (amerikanisch),Am. Zentner,cwt,,,
LTN,"Britische Tonne, Long Ton (amerikanisch)",Br. Tonne,ton (Br.),,,Synonym: gross ton (2240 lb)
STI,Stein (britisch),Stein,st,,,
STN,"Amerikanische Tonne, Short Ton",Am. Tonne,ton (Am.),,,Synonym: net ton (2000 lb)
APZ,Feinunze oder Apothekerunze,Feinunze,tr oz,,,
F13,Slug,Slug,slug,,,A unit of mass. One slug is the mass accelerated at 1 foot per second per second by a force of 1 pound.
SEC,Sekunde [Zeiteinheit],Sekunde,s,,,
MIN,Minute [Zeiteinheit],Minute,min,,,
HUR,Stunde,Stunde,h,,,
DAY,Tag,Tag,d,,,
C26,Millisekunde,Millisekunde,ms,,,
WEE,Woche,Woche,wk,,,
MON,Monat,Monat,mo,,,"Zeiteinheit gleich 1/12 eines Jahres oder 365,25 Tage."
ANN,Jahr,Jahr,y,,,"Zeiteinheit gleich 365,25 Tage (Julianisches Jahr)"
MTQ,Kubikmeter,Kubikmeter,m³,cbm,,
LTR,Liter,Liter,l,,,
MAL,Megaliter,Megaliter,Ml,,,
DLT,Deziliter,Deziliter,dl,,,
4G,Mikroliter,Mikroliter,µl,,,
K6,Kiloliter,Kiloliter,kl,,,
A44,Dekaliter,Dekaliter,dal,,,
MMQ,Kubikmillimeter,Kubikmillimeter,mm³,,,
CMQ,Kubikzentimeter,Kubikzentimeter,cm³,ccm,,
DMQ,Kubikdezimeter,Kubikdezimeter,dm³,,,
MLT,Milliliter,Milliliter,ml,,,
HLT,Hektoliter,Hektoliter,hl,,,
CLT,Zentiliter,Zentiliter,cl,,,
DMA,Kubikdekameter,Kubikdekameter,dam³,,,
H19,Kubikhektometer,Kubikhektometer,hm³,,,
H20,Kubikkilometer,Kubikkilometer,km³,,,
M67,acre-foot (basierend auf U.S. Survey Foot),acre-foot,acre-ft,,,"Unit of the volume, which is Am.ed in the United States to measure/gauge the capacity of reservoirs."
M68,Cord (128 ft3),Cord,cord,,,Traditional unit of the volume of stacked firewood which has been measured with a cord.
M69,Kubikmeile (britisch),Kubikmeile,mi³,,,Unit of volume according to the Imperial system of units.
M70,Registertonne,Registertonne,RT,,,Traditional unit of the cargo capacity.
5I,Kubikfuß,Kubikfuß,std,,,
INQ,Kubikzoll,Kubikzoll,in³,,,
FTQ,Kubikfuß,Kubikfuß,ft³,,,
YDQ,Kubikmeter,Kubikmeter,yd³,,,
GLI,Gallone (britisch),Gallone (Br.),gal,,,
GLL,Gallone (amerikanisch),Gallone (Am.),gal,,,
PTI,Pint (britisch),Pint (Br.),pt,,,
QTI,quart (britisch),Quart,qt,,,
PTL,flüssiges Pint (amerikanisch),flüssiges Pint (Am.),liq pt,,,
QTL,flüssiges Quart (amerikanisch),flüssiges Quart (Am.),liq qt,,,
PTD,trockenes Pint (amerikanisch),trockenes Pint (Am.),dry pt,,,
OZI,flüssige Unze (britisch),flüssige Unze (Br.),fl oz,,,
J57,Barrel (britisch),Barrel (Br.),bbl,,,
L43,peck (britisch),Viertelscheffel (Br.),pk,,,
L84,ton (UK shipping),Shipping ton (Br.),Shipping ton (Br.),,,
L86,ton (US shipping),Shipping ton (Am.),Shipping ton (Am.),,,
OZA,Flüssigunze (amerikanisch),Flüssigunze,fl oz,,,
BUI,Scheffel (britisch),Scheffel (Br.),bushel,,,
BUA,Scheffel (amerikanisch),Scheffel (Am.),bu,,,
BLL,Barrel (amerikanisch),Barrel (Am.),barrel,,,
BLD,Dry Barrel (amerikanisch),Dry Barrel (Am.),bbl,,,
GLD,Dry Gallon (amerikanisch),Dry Gallon (Am.),dry gal,,,
QTD,Dry Quart (amerikanisch),Dry Quart (Am.),dry qt,,,
G26,Ster (Schüttraummeter),Ster,st,,,Kubikmeter
G21,Tasse [Volumeneinheit],Tasse,cup,,,
G24,Esslöffel,Esslöffel,EL,,,
G25,Teelöffel,Teelöffel,TL,,,
G23,Viertelscheffel (amerikanisch),Viertelscheffel (Am.),pk,,,
JOU,Joule,Joule,J,,,
J75,Kalorie,Kalorie,cal,,,
K51,Kilokalorie,Kilokalorie,kcal,,,
J55,Wattsekunde,Wattsekunde,Ws,,,
WHR,Wattstunde,Wattstunde,Wh,,,
KWH,Kilowattstunde,Kilowattstunde,kWh,,,
GWH,Gigawattstunde,Gigawattstunde,GWh,,,
WTT,Watt,Watt,W,,,
KWT,Kilowatt,Kilowatt,kW,,,
MAW,Megawatt,Megawatt,MW,,,A unit of power defining the rate of energy transferred or consumed when a current of 1000 amperes flows due to a potential of 1000 volts at unity power factor.
PTN,Portion,Portion,,,,
STC,Stange,Stange,,,,
