common code,full name,short name,symbol,alt. Symbols,aliases,description
DMT,decimeter,decimeter,dm,,,
CMT,centimeter,centimeter,cm,,,
4H,micrometer (micron),micrometer (micron),µm,,,
MMT,millimeter,millimeter,mm,,,
HMT,hectometer,hectometer,hm,,,
KMT,kilometer,kilometer,km,,,
A45,decameter,decameter,dam,,,
INH,inch (Engels),inch (Engels),in (UK),"""",,
FOT,voet (Engels),voet (Engels),ft (UK),',,
YRD,yard (Engels),yard (Engels),yd (UK),,,
SMI,"mijl (statute mile, Engels)",mijl (Engels),mile (UK),,,
77,milli-inch (Engels),milli-inch (Engels),mil (UK),,,
MTK,vierkante meter,vierkante meter,m²,,,
DAA,decare,decare,daa,,,
KMK,vierkante kilometer,vierkante kilometer,km²,,,
CMK,vierkante centimeter,vierkante centimeter,cm²,,,
DMK,vierkante decimeter,vierkante decimeter,dm²,,,
H16,vierkante decameter,vierkante decameter,dam²,,,
H18,vierkante hectometer,vierkante hectometer,hm²,,,
MMK,vierkante millimeter,vierkante millimeter,mm²,,,
ARE,are,are,a,,,
HAR,hectare,hectare,ha,,,
INK,vierkante inch (Engels),vierkante inch (Engels),in² (UK),,,
FTK,vierkante voet (Engels),vierkante voet (Engels),ft² (UK),,,
YDK,vierkante yard (Engels),vierkante yard (Engels),yd² (UK),,,
MIK,"vierkante mijl (statute mijl, Engels)",vierkante mijl (Engels),mi² (UK),,,
ACR,acre (Amerikaans),acre (Amerikaans),acre (US),,,
KGM,kilogram,kilogram,kg,,,
HGM,hectogram,hectogram,hg,,,
KTN,kiloton,kiloton,kt,,,
DJ,decagram,decagram,dag,,,
DG,decigram,decigram,dg,,,
CGM,centigram,centigram,cg,,,
DTN,deciton,deciton,dt,,,
MGM,milligram,milligram,mg,,,
2U,megagram,megagram,Mg,,,
MC,microgram,microgram,µg,,,
GRM,gram,gram,g,,,
TNE,ton (metrisch),ton (metrisch),t,tm,,
M86,pond (500 gr),pond (500 gr),pond,,,
LBR,pond (Engels),pond (Engels),lb (UK),,,
GRN,grein,grein,grein (archaïsch),,,
ONZ,ounce (avoirdupois),ounce (avoirdupois),oz (UK),,,
CWI,centenaar (Engels),centenaar (Engels),cwt (UK),,,
CWA,centenaar (Amerikaans),centenaar (Amerikaans),cwt (US),,,
LTN,"bruto of ""long"" ton (Engels)",bruto ton (Engels),ton (UK),,,
STI,steen (Engels),steen (Engels),st (UK),,,
STN,"netto of ""short"" ton (Amerikaans)",netto ton (Amerikaans),ton (US),,,
APZ,troy ounce of apotheker's ounce,troy ounce,tr oz,,,
